uid	payment_card
6	4100000000000006
7	4100000000000007
8	4100000000000008
9	4100000000000009
10	4100000000000010
11	4100000000000011
12	4100000000000012
13	4100000000000013
14	4100000000000014
15	4100000000000015
16	4100000000000016
17	4100000000000017
18	4100000000000018
19	4100000000000019
20	4100000000000020
21	4100000000000021
22	4100000000000022
23	4100000000000023
24	4100000000000024
25	4100000000000025
26	4100000000000026
27	4100000000000027
28	4100000000000028
29	4100000000000029
30	4100000000000030
31	4100000000000031
32	4100000000000032
33	4100000000000033
34	4100000000000034
35	4100000000000035
36	4100000000000036
37	4100000000000037
38	4100000000000038
39	4100000000000039
40	4100000000000040
41	4100000000000041
42	4100000000000042
43	4100000000000043
44	4100000000000044
45	4100000000000045
46	4100000000000046
47	4100000000000047
48	4100000000000048
49	4100000000000049
50	4100000000000050
51	4100000000000051
52	4100000000000052
53	4100000000000053
54	4100000000000054
55	4100000000000055
56	4100000000000056
57	4100000000000057
58	4100000000000058
59	4100000000000059
60	4100000000000060
61	4100000000000061
62	4100000000000062
63	4100000000000063
64	4100000000000064
65	4100000000000065
66	4100000000000066
67	4100000000000067
68	4100000000000068
69	4100000000000069
70	4100000000000070
71	4100000000000071
72	4100000000000072
73	4100000000000073
74	4100000000000074
75	4100000000000075
76	4100000000000076
77	4100000000000077
78	4100000000000078
79	4100000000000079
80	4100000000000080
81	4100000000000081
82	4100000000000082
83	4100000000000083
84	4100000000000084
85	4100000000000085
86	4100000000000086
87	4100000000000087
88	4100000000000088
89	4100000000000089
90	4100000000000090
91	4100000000000091
92	4100000000000092
93	4100000000000093
94	4100000000000094
95	4100000000000095
96	4100000000000096
97	4100000000000097
98	4100000000000098
99	4100000000000099
100	4100000000000100
101	4100000000000101
102	4100000000000102
103	4100000000000103
104	4100000000000104
105	4100000000000105
